Gene,Virulence_factor,Species
yst1K, Effector delivery system ,VFC0086)] [Yersinia enterocolitica subsp. enterocolitica 8081]
yst1L, Effector delivery system ,VFC0086)] [Yersinia enterocolitica subsp. enterocolitica 8081]
yst1M, Effector delivery system ,VFC0086)] [Yersinia enterocolitica subsp. enterocolitica 8081]
yst1O, Effector delivery system ,VFC0086)] [Yersinia enterocolitica subsp. enterocolitica 8081]
yst1S, Effector delivery system ,VFC0086)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS21025, Effector delivery system ,VFC0086)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS21020, Effector delivery system ,VFC0086)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS18135, Effector delivery system ,VFC0086)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS12240, Effector delivery system ,VFC0086)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS12230, Effector delivery system ,VFC0086)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS09975, Effector delivery system ,VFC0086)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS00580, Effector delivery system ,VFC0086)] [Yersinia enterocolitica subsp. enterocolitica 8081]
YE_RS00570, Effector delivery system ,VFC0086)] [Yersinia enterocolitica subsp. enterocolitica 8081]
sycE/yerA, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yopK/yopQ, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yopT, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
sycT, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yopM, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yopD, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yopB, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
sycD/lcrH, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
lcrV, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
lcrG, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
lcrR, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscV/lcrD, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscY, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscX, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
sycN, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
tyeA, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
lcrE/yopN, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscN, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscO, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscP, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscQ, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscR, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscS, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscT, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscU, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
virG/yscW, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
virF/lcrF, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscA, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscB, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscC, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscD, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscE, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscF, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscG, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yopR/yscH/lcrP, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
lcrO/yscI, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
ylpB/yscJ, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscK, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yscL, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
lcrQ/yscM, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yopH, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yopJ/yopP, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
yopO/ypkA, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
sycH, Effector delivery system ,VFC0086)] [Yersinia pestis CO92]
motX, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliE, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliF, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliG, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliH, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliI, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliJ, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliK, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliL, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliM, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliN, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliO, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliP, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliQ, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliR, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flhB, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flhA, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flhF, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flhG, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
fliA, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
cheY, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
cheZ, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
cheA-2, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
cheB-2, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
motA, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
pomB, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
AHML_RS07540, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
cheW, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flaA, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flaB, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flaG, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flaH, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flaJ, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
motY, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flrC, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flrB, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flrA, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flgL, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flgK, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flgJ, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flgI, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flgH, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flgG, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flgF, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flgE, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flgD, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flgC, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flgB, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
cheR-3, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
cheV, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flgA, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flgM, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flgN, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
pomB2, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
pomA2, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flmH, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
nueA, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
flmD, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
nueB, Motility ,VFC0204)] [Aeromonas hydrophila ML09-119]
lfiM, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfiN, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
fliP, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfiQ, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfiR, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfhB, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfhA, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lafK, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfiE, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
fliF, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
fliG, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfiH, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfiI, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfiJ, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfgN, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfgM, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfgA, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfgB, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
flgC, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
flgE, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfgF, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfgG, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfgH, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
flgI, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
flgJ, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfgK, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lfgL, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
maf-5, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lafB, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lafC, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lafX, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lafE, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lafF, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lafS, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lafT, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
lafU, Motility ,VFC0204)] [Aeromonas salmonicida subsp. salmonicida A449]
flaA, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
fliQ, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flgD, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flbT, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flaF, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flgL, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flgK, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flgE, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
motB, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
fliF, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
fliP, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
fliL, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flgH, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flgI, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flgA, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flgG, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
fliE, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flgC, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flgB, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
fliI, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flgF, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
motA, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
fliM, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
fliY, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
fliG, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flhB, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
fliR, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
flhA, Motility ,VFC0204)] [Bartonella bacilliformis KC583]
bimA, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliL, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliM, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliN, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliO, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliP, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliQ, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliR, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliK, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliJ, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliI, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliH, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliG, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliF, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliE, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliS, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgN, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgM, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgA, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgB, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgC, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgD, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgE, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgF, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgG, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgH, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgI, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgJ, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgK, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgL, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliA, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flhG, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flhF, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flhA, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flhB, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
cheZ, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
cheY, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
cheB, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
cheD, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
cheR, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
tsr, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
cheW, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
cheA, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
cheY1, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
motB, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
motA, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliC, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
fliD, Motility ,VFC0204)] [Burkholderia pseudomallei K96243]
flgD, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgE, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliY, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliM, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliA, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flhF, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliI, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliF, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliG, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliH, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flhB, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
motB, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
motA, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliN, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
Cj0371, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliE, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgC, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgB, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flaG, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliD, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliS, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgH, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgG2, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgG, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flaC, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliP, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flhA, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgL, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliR, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
pseG, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
pseH, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
ptmB, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
ptmA, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flaB, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flaA, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliL, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgI, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgK, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
pflA, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliQ, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgE2, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliK, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flhG, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
Cj0883c, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgR, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
pseB, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
pseC, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
pseF, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
pseA, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
pseI, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
pseD/maf2, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
pseE/maf5, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
eptC, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
cheW, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
cheA, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
cheV, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
rpoN, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgA, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgS, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgQ, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgP, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
fliW, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
cheY, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
maf4, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgJ, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flgM, Motility ,VFC0204)] [Campylobacter jejuni subsp. jejuni NCTC 11168]
flaA, Motility ,VFC0204)] [Helicobacter pylori 26695]
flaB, Motility ,VFC0204)] [Helicobacter pylori 26695]
flgE_1, Motility ,VFC0204)] [Helicobacter pylori 26695]
pseFG, Motility ,VFC0204)] [Helicobacter pylori 26695]
pseI, Motility ,VFC0204)] [Helicobacter pylori 26695]
flaG, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliR, Motility ,VFC0204)] [Helicobacter pylori 26695]
flgI, Motility ,VFC0204)] [Helicobacter pylori 26695]
flgL, Motility ,VFC0204)] [Helicobacter pylori 26695]
flgH, Motility ,VFC0204)] [Helicobacter pylori 26695]
pseH/flmH/flaG1, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliF, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliG, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliH, Motility ,VFC0204)] [Helicobacter pylori 26695]
flgG, Motility ,VFC0204)] [Helicobacter pylori 26695]
flhA, Motility ,VFC0204)] [Helicobacter pylori 26695]
flhF, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliA, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliM, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliY, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliN, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliD, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliS, Motility ,VFC0204)] [Helicobacter pylori 26695]
flhB, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliL, Motility ,VFC0204)] [Helicobacter pylori 26695]
motA, Motility ,VFC0204)] [Helicobacter pylori 26695]
motB, Motility ,VFC0204)] [Helicobacter pylori 26695]
flgD, Motility ,VFC0204)] [Helicobacter pylori 26695]
flgE, Motility ,VFC0204)] [Helicobacter pylori 26695]
flgK, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliQ, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliI, Motility ,VFC0204)] [Helicobacter pylori 26695]
flgA, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliE, Motility ,VFC0204)] [Helicobacter pylori 26695]
flgC, Motility ,VFC0204)] [Helicobacter pylori 26695]
flhB2, Motility ,VFC0204)] [Helicobacter pylori 26695]
cheV1, Motility ,VFC0204)] [Helicobacter pylori 26695]
tlpC, Motility ,VFC0204)] [Helicobacter pylori 26695]
tlpA, Motility ,VFC0204)] [Helicobacter pylori 26695]
tlpB, Motility ,VFC0204)] [Helicobacter pylori 26695]
flgS, Motility ,VFC0204)] [Helicobacter pylori 26695]
HP0256, Motility ,VFC0204)] [Helicobacter pylori 26695]
pseC, Motility ,VFC0204)] [Helicobacter pylori 26695]
cheW, Motility ,VFC0204)] [Helicobacter pylori 26695]
cheA, Motility ,VFC0204)] [Helicobacter pylori 26695]
cheV2, Motility ,VFC0204)] [Helicobacter pylori 26695]
hpaA2, Motility ,VFC0204)] [Helicobacter pylori 26695]
HP_RS02435, Motility ,VFC0204)] [Helicobacter pylori 26695]
cds6, Motility ,VFC0204)] [Helicobacter pylori 26695]
cheV3, Motility ,VFC0204)] [Helicobacter pylori 26695]
HP_RS03030, Motility ,VFC0204)] [Helicobacter pylori 26695]
flgR, Motility ,VFC0204)] [Helicobacter pylori 26695]
HP_RS03480, Motility ,VFC0204)] [Helicobacter pylori 26695]
pseB, Motility ,VFC0204)] [Helicobacter pylori 26695]
HP_RS04690, Motility ,VFC0204)] [Helicobacter pylori 26695]
ylxH, Motility ,VFC0204)] [Helicobacter pylori 26695]
cheY, Motility ,VFC0204)] [Helicobacter pylori 26695]
flgM, Motility ,VFC0204)] [Helicobacter pylori 26695]
HP_RS07240, Motility ,VFC0204)] [Helicobacter pylori 26695]
pdxJ, Motility ,VFC0204)] [Helicobacter pylori 26695]
pdxA, Motility ,VFC0204)] [Helicobacter pylori 26695]
fliC, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
flgA, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
flgB, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
flgC, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
flgD, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
flgE, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
flgF, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
flgG, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
flgH, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
flgI, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
flgK, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
flgL, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
fliS, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
fliD, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
fliJ, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
fliH, Motility ,VFC0204)] [Legionella pneumophila subsp. pneumophila str. Philadelphia 1]
